city_id,city_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
150616,Rio Maria,18193,2633,3075,3168,3048,2475,1858,1152,573,211
150618,Rondon do Pará,52357,8028,9588,9419,8886,6866,4913,2811,1339,507
150619,Rurópolis,50510,9372,9623,9815,8695,5759,3746,2216,961,323
150620,Salinópolis,40675,6510,7238,7617,6714,5200,3558,2260,1122,456
150630,Salvaterra,23752,4045,4296,4502,3634,3036,2027,1221,677,314
150635,Santa Bárbara do Pará,21079,3441,3807,3873,3336,2800,1961,1092,543,226
150640,Santa Cruz do Arari,10128,1623,1800,2020,1765,1307,853,439,227,94
150650,Santa Izabel do Pará,70801,10047,12768,13581,12879,9542,6048,3425,1754,757
150655,Santa Luzia do Pará,19848,3486,3720,3672,3085,2260,1578,1124,621,302
150658,Santa Maria das Barreiras,21449,3531,3679,3591,3192,2846,2265,1487,661,197
150660,Santa Maria do Pará,24861,3587,4285,4324,4090,3386,2419,1560,806,404
150670,Santana do Araguaia,72817,12199,14835,15118,12739,8820,4861,2729,1190,326
150680,Santarém,304589,52415,58326,54259,48647,36490,25300,16717,8501,3934
150690,Santarém Novo,6709,1247,1170,1292,1047,759,534,347,218,95
150700,Santo Antônio do Tauá,31482,5429,5619,5789,4982,4080,2631,1702,900,350
150710,São Caetano de Odivelas,18050,2976,3109,3231,2831,2252,1614,1161,597,279
150715,São Domingos do Araguaia,25557,4619,4671,4407,3829,3029,2121,1502,949,430
150720,São Domingos do Capim,31989,7301,6672,5744,4423,3263,2048,1344,858,336
150730,São Félix do Xingu,128481,19715,22629,27179,26649,18132,8906,3651,1305,315
150740,São Francisco do Pará,15882,2385,2694,2691,2464,2086,1577,1111,596,278
150745,São Geraldo do Araguaia,24847,4244,4442,4464,3961,3000,2184,1440,773,339
150746,São João da Ponta,6139,1164,1064,1068,951,718,540,342,191,101
150747,São João de Pirabas,23045,4019,4104,4254,3587,2645,1894,1339,810,393
150750,São João do Araguaia,13996,2606,2598,2435,1980,1631,1278,840,452,176
150760,São Miguel do Guamá,58986,10679,11664,10699,9296,6844,4574,2862,1645,723
150770,São Sebastião da Boa Vista,26640,5616,5591,4945,4079,2688,1749,1083,592,297
150775,Sapucaia,5930,887,1056,1103,971,770,616,333,149,45
150780,Senador José Porfírio,11658,2402,2274,2086,1584,1408,1070,562,213,59
150790,Soure,25374,4249,4530,4692,3972,3052,2281,1479,756,363
150795,Tailândia,106339,19872,23728,23029,18106,11088,5781,2931,1381,423
150796,Terra Alta,11720,1974,2037,2169,1811,1423,1072,650,406,178
150797,Terra Santa,18769,3315,3515,3421,2954,2346,1466,1013,504,235
150800,Tomé-Açu,63447,12608,12672,11635,9700,7176,4555,2879,1582,640
150803,Tracuateua,30959,5995,5835,5744,4750,3470,2381,1535,845,404
150805,Trairão,18989,3421,3444,3658,3343,2288,1473,884,377,101
150808,Tucumã,39602,6637,7321,7684,6802,4767,3281,1947,881,282
150810,Tucuruí,113659,20301,23535,21611,18643,12802,8408,5334,2200,825
150812,Ulianópolis,59210,11025,12536,11984,9332,6950,3862,2230,1033,258
150815,Uruará,45476,8460,9269,8604,7171,5312,3391,1962,979,328
150820,Vigia,53686,8574,9535,9784,9030,6833,4557,3012,1636,725
150830,Viseu,61403,13816,12480,11394,9023,5937,4068,2721,1340,624
150835,Vitória do Xingu,15134,2464,2770,3020,2665,1879,1227,656,329,124
150840,Xinguara,44751,7213,8332,8332,7442,5778,4029,2211,1014,400
160010,Amapá,9109,1806,1750,1766,1415,1049,667,392,181,83
